('empresa', 1.0)
('de', 0.8572839416479606)
('crisis', 0.8544569027335273)
('política', 0.8497517122249963)
('demanda', 0.8425350851895878)
('justicia', 0.8404169070958203)
('inflación', 0.8399468773548358)
('tierra', 0.8358991113768299)
('a', 0.8346895782217014)
('vida', 0.833921384155372)
('industria', 0.8312194626564082)
('con', 0.8285745320361875)
('red', 0.8271259534728904)
('economía', 0.8254524860925101)
('del', 0.8222183373895201)
('información', 0.8218633057584137)
('república', 0.8185419260075166)
('sociedad', 0.8179185715967958)
('en', 0.8173739055811597)
('para', 0.8168536999906122)
('y', 0.815180586597056)
('tecnología', 0.8142611468459316)
('como', 0.8132127148894969)
('nacional', 0.8125727045599392)
('es', 0.8119368185562152)
('planta', 0.8095124711051915)
('compañía', 0.8090274456732767)
('banca', 0.806701150188936)
('televisión', 0.8062820004644098)
('pobreza', 0.8061111313996886)
('se', 0.8053371621304596)
('que', 0.8049859941273744)
('por', 0.8042205231298196)
('reforma', 0.8014779822341518)
('una', 0.8001418292276664)
('mexicana', 0.8000657886344051)
('económica', 0.7988877525052311)
('semana', 0.7952460729235845)
('realidad', 0.7929447748555067)
('mayor', 0.791540171522009)
('al', 0.7912073466914457)
('nación', 0.7909998691298912)
('presencia', 0.7904293124518889)
('recuperación', 0.7900067377273635)
('población', 0.7891414262197872)
('hecho', 0.7891239920952174)
('el', 0.7886325303413133)
('actual', 0.7884877665973735)
('entidad', 0.7884340674213528)
('sigue', 0.7880929851572838)
('práctica', 0.7875378819085754)
('capital', 0.7866756161765044)
('estabilidad', 0.7848582783959832)
('privada', 0.7825702011500638)
('producción', 0.7819009757628116)
('sobre', 0.7814245393697575)
('informática', 0.7813026317288694)
('fue', 0.7806527798050291)
('general', 0.7800220491102524)
('leche', 0.7798178849020054)
('mayoría', 0.7779765130665576)
('baja', 0.7773416749229436)
('la', 0.7771877334349635)
('está', 0.7762766754027567)
('búsqueda', 0.7746315666038331)
('nueva', 0.7738959104008611)
('reducción', 0.7736505491426172)
('comisión', 0.7732091431923908)
('venta', 0.7725787205316196)
('este', 0.771379169067951)
('página', 0.7697625676353815)
('un', 0.7685944740984599)
('desde', 0.7685207245205928)
('capacidad', 0.7684623902009422)
('ley', 0.7681418430753422)
('reunión', 0.7660445528374813)
('meta', 0.7658166651177764)
('méxico', 0.7656895787262427)
('situación', 0.7655979623285698)
('ya', 0.7654248289649638)
('su', 0.7643986633690639)
('contra', 0.763545255690507)
('compra', 0.7631932481774913)
('gran', 0.7621228078035843)
('deuda', 0.7616481561431221)
('o', 0.7614093921179705)
('historia', 0.7611712146404964)
('pública', 0.7607624018828468)
('negociación', 0.759921833825647)
('las', 0.7588231826751856)
('muerte', 0.7580903364583206)
('ruta', 0.7579765486192529)
('cantidad', 0.7569769214111276)
('no', 0.7567707915463044)
('grave', 0.7562439568038042)
('los', 0.7557815806795706)
('administración', 0.7557266961267605)
('elección', 0.7552361373533366)
('más', 0.7549419170290793)
('última', 0.7549356802973002)
('tenencia', 0.7520364982498305)
('base', 0.751646493331743)
('internacional', 0.7515951334663387)
